,PEMEL_Max,PEMEL_Min,PEMEL_Mean,Siemens_1bar,Siemens_100bar,Siemens _50bar,Proton,Proton_Advanced,Giner_70bar_58C,Giner_7bar_42C,Giner_7bar_58C,Giner_70 bar_42C,CETH2,Helion_50C,Helion_60C,Helion_70C,Helion_70C_15bar,Giner,Hydrogenics,Proton,ITM_ELECTROHYPEM,AREVA,Siemens,Labor_dÅnne_Membran_80,Labor_dÅnne_Membran_50,AEL_Max,AEL_Min,AEL_Mean,Elwatec_FZ_JÅlich,DLR,FZ_JÅlic_ HPEL,Lurgi,GHW,Metkon_Alyzer_50,Metkon_Alyzer_60,Metkon_Alyzer_Hysolar_80,GHW,Stuart_Energy,FZ_JÅlich_Phoebus_80,FZ_JÅlich_Phoebus_50,Casale_Chemicals,Wasserelektrolyse_Hydrotechnik,RESelyzer,Hydrogenics,GHW
,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,PEMEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL,AEL
0.28,86.74381857,55.26120729,70.31865641,55.26120729,61.51950785,55.07567523,68.27368331,77.83324922,69.6961087,70.31182335,72.58322901,67.69128736,74.30266677,69.15471281,71.19142372,72.8551483,74.08299387,77.29817201,86.74381857,68.65265029,75.54862536,73.0244516,65.98211381,76.00726398,53.86954399,84.73322471,64.55635142,74.62242618,75.94744848,79.54073507,81.66183791,81.38202908,74.81756343,64.5666826,66.91311357,69.28373934,75.01561917,74.30221375,78.39071324,72.33935674,71.40427318,64.55635142,78.90217408,84.73322471,74.82416926
0.29,86.5671969,54.90192666,70.07732188,54.90192666,61.20021509,54.70215402,68.00062185,77.73025402,69.40273323,69.99535029,72.31092673,67.35886624,74.03540234,68.88712872,70.9308955,72.59385138,73.83328405,77.15377809,86.5671969,68.37704971,75.38936412,72.79796551,66.01918917,75.8008072,53.54265888,84.50035306,64.36674238,74.41895162,75.74967133,79.42135306,81.46490012,81.24216214,74.53785475,64.37714271,66.69146973,69.08176214,74.75244584,74.13728732,78.17427377,72.14321673,71.21162012,64.36674238,78.69025574,84.50035306,74.57966656
0.3,86.4539695,54.55025341,69.84261634,54.55025341,60.89189407,54.37612797,67.69923667,77.59458112,69.11549968,69.68790867,72.03885428,67.03308379,73.80130585,68.62391355,70.67413535,72.33769653,73.58262114,77.01290055,86.4539695,68.10343917,75.23320546,72.57556598,66.07994014,75.59634788,53.22803372,84.27646906,64.18615392,74.2217795,75.55686585,79.30663051,81.27237016,81.10231099,74.2608643,64.19229607,66.48339857,68.89114643,74.4932684,73.98225758,77.96354202,71.95214083,71.02517777,64.18615392,78.4808676,84.27646906,74.34449147
0.31,86.37496978,54.23046197,69.6114116,54.23046197,60.58193527,54.04592409,67.42965229,77.40240127,68.83383262,69.39020992,71.76631481,66.71387658,73.58908989,68.36451021,70.41999801,72.08794876,73.33362298,76.87519011,86.37496978,67.83239416,75.07986198,72.35701519,66.15551232,75.3938523,52.92495375,84.0611062,64.01288178,74.03002262,75.36891918,79.19602061,81.08463013,80.96247801,73.98519162,64.0126227,66.28315181,68.70928408,74.24048538,73.83405011,77.75815022,71.76579501,70.84453571,64.01288178,78.27426575,84.0611062,74.11681617
0.32,86.24961232,53.90859521,69.38065363,53.90859521,60.25917191,53.73386426,67.18394245,77.18130123,68.5571566,69.10193488,71.49344759,66.401156,73.38746703,68.10884572,70.16826724,71.84587289,73.08890745,76.74029746,86.24961232,67.56449017,74.9290463,72.14207532,66.23705129,75.19330554,52.63270421,83.8537333,63.84522171,73.84278994,75.18571844,79.08897655,80.90206212,80.82266561,73.70943762,63.83827631,66.08501524,68.53356694,73.99625459,73.68995761,77.55779432,71.58391277,70.66931669,63.84522171,78.07070626,83.8537333,73.89481285
0.33,86.01643756,53.61094059,69.15112743,53.61094059,59.94986776,53.41681069,66.9676582,76.96271828,68.2848962,68.82249867,71.22068467,66.09475997,73.18534726,67.85691328,69.91913666,71.61222825,72.85109238,76.60787333,86.01643756,67.30030268,74.78047104,71.93050855,66.31570264,74.99469267,52.35057035,83.65381914,63.68146947,73.65935267,75.00715078,78.98495151,80.72504824,80.68287619,73.43270448,63.66893528,65.88606859,68.36138686,73.76087725,73.54903079,77.36217339,71.40623121,70.4991729,63.68146947,77.87044521,83.65381914,73.67665408
0.34,85.74731355,53.30601573,68.92456286,53.30601573,59.66486616,53.11662409,66.72063026,76.76866874,68.01647597,68.55131643,70.9484584,65.79451308,72.97713632,67.60870605,69.67280171,71.38615928,72.62264517,76.47756843,85.74731355,67.04040718,74.6338488,71.72207707,66.38261196,74.79799878,52.07783741,83.46083254,63.51992079,73.47934909,74.83310335,78.88339868,80.55397056,80.54311215,73.15534203,63.50424042,65.68821993,68.1901357,73.53379121,73.41084589,77.17101035,71.2325063,70.33380272,63.51992079,77.67373869,83.46083254,73.46096324
0.35,85.54215955,53.00848052,68.70605563,53.00848052,59.38902435,52.82366739,66.47423859,76.60591185,67.75132049,68.2878033,70.67720111,65.50023995,72.76332543,67.36421723,69.42945781,71.16648857,72.40362558,76.34903415,85.54215955,66.78537917,74.48889221,71.51654306,66.42892484,74.60320895,51.81379064,83.27424228,63.35887144,73.30254297,74.66346329,78.78377124,80.38906593,80.40337985,72.87789095,63.34383271,65.49385681,68.01739123,73.31442949,73.27497925,76.98407274,71.0625314,70.17291494,63.35887144,77.48084278,83.27424228,73.24769407
0.36,85.4361351,52.72014476,68.49503377,52.72014476,59.11104501,52.54359391,66.19827193,76.47398558,67.48885431,68.03137441,70.40734516,65.21176516,72.54472154,67.12344,69.18930039,70.95203875,72.19215661,76.22202636,85.4361351,66.53579412,74.34531386,71.31366869,66.44578688,74.41030826,51.55771529,83.09351718,63.19696442,73.1288406,74.49811772,78.68552239,80.23000111,80.26374846,72.60089191,63.18735691,65.30531496,67.84290616,73.10222516,73.14100722,76.80113301,70.89610427,70.01625676,63.19696442,77.29217806,83.09351718,73.03704448
0.37,85.42786644,52.4342405,68.29182908,52.4342405,58.83867238,52.26688655,65.97295298,76.34796766,67.2285471,67.78144489,70.1393229,64.92891334,72.32213162,66.88636753,68.95252488,70.74163242,71.98630639,76.09651601,85.42786644,66.29222753,74.20282718,71.11321616,66.42555488,74.2192818,51.30889661,82.91812603,63.03412099,72.95827224,74.3369538,78.58810531,80.07630303,80.12433736,72.32488559,63.03446133,65.12302937,67.66784296,72.89661124,73.00850614,76.6219728,70.73303061,69.86359013,63.03412099,77.10953897,82.91812603,72.82921237
